DOIs,bfs-2,page-rank,closeness,motifs3_8,k-core,out-degree,motifs3-9,in-degree,motifs3-13,motifs3-4,bfs-1,motifs3-12,motifs3-3,motifs3-7,motifs3-5,motifs3-2,motifs3-11,motifs3-10,motifs3-1,motifs3-6
acting,0.061,0.058,0.02,0.025,0.036,0.043,0.041,0.045,0.029,0.025,0.039,0.007,0.004,0.014,0.01,0.001,0.004,-0.003,-0.001,-0.001
animals,0.057,0.057,0.046,0.032,0.038,0.037,0.042,0.048,0.016,0.024,0.027,0.01,0.007,0.001,0.019,0.022,-0.004,-0.008,-0.009,-0.002
anime,0.08,0.074,0.097,0.067,0.067,0.06,0.069,0.073,0.025,0.039,0.06,0.03,0.025,-0.001,0.049,0.053,-0.005,-0.012,-0.011,0.007
art,0.116,0.098,0.104,0.076,0.082,0.081,0.087,0.09,0.038,0.058,0.045,0.028,0.034,0.011,0.054,0.05,0.002,-0.011,-0.015,0.009
basketball,0.035,0.029,-0.031,-0.014,0,0.011,0.011,0.007,0.004,-0.005,0.034,-0.017,-0.028,-0.004,-0.024,-0.033,-0.008,-0.005,-0.017,-0.019
biking,0.032,0.034,-0.005,0.002,0.006,0.015,0.02,0.014,0.008,0.003,0.025,-0.01,-0.016,-0.005,-0.014,-0.022,-0.006,-0.007,-0.02,-0.016
books,0.099,0.113,0.115,0.085,0.096,0.088,0.1,0.11,0.054,0.068,0.043,0.049,0.037,0.021,0.061,0.066,0.006,-0.01,-0.002,0.018
boys,0.077,0.054,-0.01,0.007,0.025,0.039,0.034,0.035,0.019,0.016,0.049,-0.011,-0.012,0.005,-0.006,-0.019,-0.004,-0.009,-0.017,-0.015
camping,0.042,0.052,0.021,0.021,0.027,0.032,0.041,0.037,0.02,0.02,0.02,0.002,-0.005,0,-0.001,-0.003,-0.001,-0.006,-0.007,-0.01
candles,0.066,0.06,0.045,0.035,0.044,0.045,0.048,0.055,0.024,0.037,0.026,0.008,0.016,0.007,0.024,0.024,-0.001,-0.007,-0.011,0
cars,0.043,0.037,-0.007,0.004,0.013,0.021,0.025,0.02,0.01,0.01,0.029,-0.009,-0.013,-0.001,-0.01,-0.02,-0.003,-0.006,-0.014,-0.014
cats,0.077,0.097,0.094,0.073,0.079,0.073,0.087,0.093,0.049,0.063,0.027,0.041,0.034,0.021,0.049,0.056,0.01,-0.007,0.004,0.015
cheese,0.065,0.067,0.024,0.028,0.038,0.045,0.052,0.049,0.029,0.031,0.034,0.005,-0.001,0.007,0.005,-0.003,-0.001,-0.008,-0.008,-0.01
chocolate,0.076,0.09,0.062,0.053,0.067,0.067,0.074,0.082,0.045,0.051,0.041,0.03,0.017,0.02,0.031,0.033,0.005,-0.008,-0.002,0.008
clothes,0.062,0.043,0.017,0.016,0.031,0.034,0.031,0.037,0.015,0.019,0.034,0,0.003,0.006,0.01,0.006,-0.003,-0.006,-0.006,-0.003
coffee,0.084,0.089,0.073,0.06,0.07,0.068,0.078,0.082,0.042,0.055,0.03,0.028,0.024,0.016,0.037,0.039,0.005,-0.006,-0.001,0.008
