doi,positive_score,negative_scores
acting,0.548105359,0.706943691
animals,0.462296754,0.602148652
anime,0.05238305,0.14943476
art,0.414044172,0.584808171
basketball,0.28929168,0.531740308
biking,0.368697196,0.611733198
books,0.358596683,0.566264927
boys,0.332519054,0.614715695
camping,0.136203408,0.436346233
candles,0.263234973,0.517929018
cars,0.29889819,0.639686286
cats,0.404851109,0.605339229
cheese,0.143763989,0.320751727
chocolate,0.085494392,0.252602577
clothes,0.398422748,0.715153277
coffee,0.255799979,0.523021996
computers,0.225818664,0.523120999
concerts,0.272122979,0.494361252
cooking,0.343602955,0.484621972
dancing,0.339078099,0.589836478
dogs,0.371967226,0.602922559
drawing,0.360383809,0.557031333
dreams,0.495773882,0.706386626
drinking,0.342144579,0.601768315
driving,0.421689302,0.775610328
dvds,0.09499301,0.24483867
eating,0.31280306,0.54568094
family,0.458506316,0.698935151
fanfiction,0.150281951,0.300186515
fantasy,0.332643241,0.457808256
fashion,0.42071569,0.517464638
food,0.337480187,0.603381336
football,0.331182659,0.516720474
friends,0.476935208,0.734616339
girls,0.458277017,0.689326704
guitar,0.225017771,0.462017506
guys,0.362625241,0.637591898
hiking,0.324450105,0.550590456
history,0.319379717,0.532289088
hugs,0.38767159,0.556370676
internet,0.099067509,0.368662506
kissing,0.361755818,0.560368896
laughing,0.276242256,0.593406677
life,0.461716145,0.749103129
literature,0.388630629,0.424158394
love,0.328388274,0.559160233
manga,-0.088496633,0.037035711
movies,0.312879741,0.542107701
music,0.267062515,0.542957723
nirvana,0.020238368,0.103716217
painting,0.436608911,0.610424697
philosophy,0.447820365,0.496227711
photography,0.453419745,0.545310915
pictures,0.36346972,0.646589041
piercings,0.103956424,0.285664469
poetry,0.347193986,0.481605142
politics,0.442847759,0.577454388
psychology,0.484876752,0.53917259
punk,0.202271149,0.403330594
radiohead,0.124203332,0.241033465
rain,0.25732708,0.644346952
reading,0.443382114,0.651511729
rock,0.130340219,0.37286824
running,0.37881586,0.721311808
sex,0.410697579,0.621281505
shoes,0.284638852,0.60201484
shopping,0.279527962,0.510838151
singing,0.313804209,0.586711347
sleep,0.343310326,0.692973852
sleeping,0.414674133,0.748189211
snow,0.304317504,0.668201566
snowboarding,0.288502842,0.440094769
soccer,0.279791057,0.488039613
stars,0.327214092,0.565293849
summer,0.325719893,0.636095881
swimming,0.335088044,0.648926497
talking,0.390268743,0.673543096
tattoos,0.324896514,0.511071205
travel,0.3889485,0.638200283
traveling,0.527230382,0.730160415
tv,-0.004185542,0.310924649
vampires,0.26027748,0.324430197
women,0.567610741,0.711943984
writing,0.456641585,0.588502049
