doi,Per
philosophy,low N
cooking,low N
punk,low N
snowboarding,low N
driving,low E
life,low E
sleeping,low E
friends,low E
running,low E
clothes,low E
dreams,low E
family,low E
sleep,low E
girls,low E
talking,low E
snow,low E
reading,low E
swimming,low E
pictures,low E
rain,low E
guys,low E
summer,low E
sex,low E
boys,low E
cats,low E
dogs,low E
animals,low E
drinking,low E
laughing,low E
dancing,low E
writing,low E
singing,low E
politics,low E
books,low E
kissing,low E
love,low E
hugs,low E
eating,low E
photography,low E
psychology,low E
history,low E
basketball,low E
computers,low E
candles,low E
football,low E
tattoos,low E
