DOIs,degrees_1,degrees_2,page_rank_1,bfs_moments_1,bfs_moments_2,closeness_1,kcore_1,motifs_3_2,motifs_3_3,motifs_3_4,motifs_3_5,motifs_3_6,motifs_3_7,motifs_3_8,motifs_3_9,motifs_3_10,motifs_3_11,motifs_3_12,motifs_3_13
shoes,0.047363739,0.045147763,0.056757094,0.032135404,0.064378986,0.030500152,0.039537442,0.012638813,0.006226804,0.027805556,0.012240729,-0.00489822,0.007490763,0.034628365,0.04906445,-0.006383293,0.000220989,0.007887396,0.025582487
acting,0.043013984,0.045360333,0.058068115,0.039762907,0.063001501,0.017042035,0.03378913,-0.001467484,0.003112653,0.023740743,0.006916779,-0.002169284,0.013442785,0.030853198,0.044895446,-0.001347706,0.006479045,0.009090913,0.031950055
philosophy,0.055752868,0.051737938,0.058825385,0.022254931,0.062979061,0.058051778,0.048156324,0.026305461,0.020233007,0.040365272,0.03010002,0.006178114,0.015468747,0.049227803,0.057714507,-0.006376449,0.002021074,0.017378133,0.025486067
swimming,0.035232009,0.038568485,0.067029738,0.046786936,0.065409732,-0.007762926,0.020181025,-0.028119183,-0.024802405,0.01318055,-0.018724137,-0.025249604,-0.002819128,0.014284991,0.046804692,-0.008548826,-0.005530943,-0.010689284,0.021345243
hugs,0.062405419,0.05952145,0.07676093,0.036939994,0.075387055,0.034038458,0.049115848,0.013136746,0.012378297,0.043093389,0.016459126,-0.003614363,0.014697916,0.045468164,0.064615773,-0.006393922,0.003189493,0.012080249,0.039567397
sex,0.05935764,0.065680462,0.059479743,0.017445318,0.080146909,0.0655733,0.059836033,0.037635577,0.037480826,0.045893948,0.043862691,0.017502852,0.019535741,0.063661684,0.061761715,-0.004442097,0.007680423,0.031462325,0.034407605
guys,0.016685754,0.024836254,0.042860245,0.033420614,0.045156273,-0.021625531,0.007593173,-0.027945152,-0.019787084,0.002277977,-0.01978976,-0.022673583,-0.0087585,0.004056913,0.025185799,-0.006323592,-0.003759381,-0.012004916,0.012512427
love,0.079783774,0.085912528,0.0928563,0.04695152,0.114008872,0.068500594,0.072041669,0.031981561,0.029166708,0.053104522,0.038801695,-0.000687383,0.015601927,0.073295822,0.083068015,-0.009501624,0.003264648,0.021628026,0.044369854
internet,0.04161758,0.036471903,0.043666029,0.03250024,0.053718955,0.043712625,0.032231728,0.024156017,0.013168003,0.022142262,0.024445585,0.005029402,0.007576108,0.033959035,0.037789044,-0.006376126,-0.001425175,0.013685914,0.015219072
travel,0.046069048,0.040645057,0.042575417,0.011351733,0.041113538,0.055383053,0.040544539,0.030010242,0.018919787,0.033343851,0.031197202,0.012882611,0.019866843,0.039184569,0.046411342,-0.004235274,0.001613326,0.017911463,0.020027311
drawing,0.055294854,0.04633082,0.067116985,0.052607143,0.087016337,0.055622028,0.03979668,0.018572072,0.000652126,0.025380831,0.019503715,-0.008841426,0.001916265,0.04175468,0.056735014,-0.010452573,-0.007708595,0.006900452,0.015489855
radiohead,0.061445231,0.056352814,0.066960308,0.017406245,0.06348509,0.050476792,0.052957087,0.022978375,0.021648965,0.047992349,0.026039754,0.00105095,0.015206848,0.053243519,0.067723436,-0.003682617,0.004824354,0.018062808,0.035551338
fantasy,0.054137245,0.058317112,0.044954725,0.028579154,0.061102502,0.076665268,0.054942475,0.042378188,0.034097552,0.04096302,0.053902985,0.024062076,0.03097964,0.055750435,0.053952503,-0.007526793,2.77E-05,0.027773438,0.02480415
books,0.091030564,0.082153682,0.088911185,0.049697917,0.104353162,0.098847019,0.0797794,0.053326055,0.030620951,0.055414702,0.055998686,0.018564089,0.028721812,0.074773093,0.085296189,-0.00952945,-0.001221257,0.033380781,0.037329735
snowboarding,0.013924187,0.01723266,0.037945962,0.022917271,0.033197766,-0.018632051,0.004408526,-0.028799934,-0.02122267,0.004454471,-0.021285971,-0.021323539,-0.007578602,0.003012565,0.02678131,-0.006667463,-0.004099321,-0.011725143,0.011023598
literature,0.051509148,0.047927656,0.045694583,0.021625659,0.055265,0.065221508,0.048400274,0.040205694,0.026337929,0.035109917,0.03911056,0.01573505,0.01728145,0.047321479,0.047913856,-0.004639842,-7.00E-05,0.023302311,0.019885743
animals,0.041781374,0.037600371,0.049496448,0.02889783,0.059565339,0.040746097,0.032781784,0.017058143,0.005382647,0.020714473,0.017754015,-0.002323393,0.004153317,0.032209976,0.040249317,-0.007234217,-0.004602873,0.00721955,0.012865693
dancing,0.060817729,0.062548815,0.09135276,0.05185973,0.092690898,0.017673535,0.044251792,-0.011719659,-0.008998444,0.033502345,-0.001863224,-0.015369598,0.010804477,0.038741902,0.070385264,-0.009077661,0.000402163,0.003544764,0.039672241
drinking,0.024416339,0.029255823,0.041230444,0.020986399,0.045194811,0.003858049,0.019209998,-0.011861716,-0.006045338,0.013457883,-0.003364328,-0.009820929,0.00331137,0.018365166,0.031852309,-0.002820339,-0.00143546,0.000576776,0.016363191
psychology,0.060862821,0.051335943,0.060998688,0.023858678,0.064585848,0.062831853,0.050438546,0.036649752,0.023176008,0.041106821,0.033072941,0.006354974,0.013723032,0.050215218,0.057397796,-0.005808024,-0.001796838,0.018133168,0.023476935
sleep,0.052544554,0.048974073,0.065734262,0.032843075,0.067111198,0.032563526,0.041520462,0.008380452,0.007296279,0.035402527,0.013655468,-0.005052719,0.011556778,0.038900026,0.056970737,-0.005984496,0.001395854,0.010191639,0.028209843
tv,0.01836085,0.026223427,0.030765063,0.030722621,0.04419943,0.009317431,0.017140888,-0.004203278,-0.006280207,0.002669371,0.001541309,-0.007542141,-0.003084889,0.013935009,0.022202618,-0.006154458,-0.004393594,0.000626412,0.007948039
talking,0.02895914,0.0333654,0.053470379,0.037391417,0.052689293,-0.007682582,0.017895691,-0.020077687,-0.014791966,0.011959724,-0.012780481,-0.019208282,-0.002616313,0.014029156,0.036119724,-0.005863139,-0.00245193,-0.005916004,0.020487694
cars,0.019372936,0.023899942,0.038880493,0.026734422,0.039719124,-0.00752069,0.012944784,-0.021121565,-0.013232234,0.00977495,-0.011302248,-0.015553276,-0.002716383,0.011385353,0.029752268,-0.005032618,-0.001035886,-0.006493882,0.013000842
harry potter,0.076473768,0.066411686,0.060507686,0.0541247,0.0919452,0.104713947,0.070165079,0.070118952,0.033875319,0.037284567,0.063262318,0.025612914,0.022512551,0.063573055,0.060106922,-0.010921233,-0.008042641,0.037737998,0.022388978
history,0.059311494,0.052995735,0.054502366,0.026305651,0.05913049,0.064742524,0.052824241,0.036599791,0.023009647,0.039886832,0.037881054,0.015680754,0.023413338,0.049255424,0.055618826,-0.005818663,0.001054751,0.023025404,0.025117479
guitar,0.038486477,0.040013926,0.06090633,0.035471577,0.062323778,0.004658836,0.027676062,-0.014632779,-0.008857073,0.01991768,-0.005716515,-0.015827827,0.000992675,0.024948377,0.046281194,-0.006481411,-0.001153698,-0.000116201,0.025079216
johnny depp,0.059110963,0.051251974,0.060521202,0.037608864,0.071329357,0.053779374,0.049643156,0.032104158,0.0185369,0.034143944,0.028908687,0.003715419,0.012014144,0.04551565,0.053317424,-0.006546118,-0.00339509,0.01706185,0.022896224
driving,0.039738587,0.03960377,0.060868074,0.032021198,0.057489063,0.008034252,0.028399175,-0.0121254,-0.0088995,0.022901125,-0.004564498,-0.016695236,0.001411833,0.024311754,0.048210049,-0.005945032,-0.001352161,-0.003651688,0.02345365
linkin park,0.031082148,0.027862725,0.041751322,0.033471662,0.046514519,0.015274428,0.020107639,0.003069768,-0.002704289,0.014185351,0.003505433,-0.010889999,-0.003385275,0.019801406,0.030587155,-0.005409874,-0.005815917,-0.001293981,0.009473475
the beatles,0.059782774,0.05023607,0.063597961,0.026888363,0.061923396,0.046772474,0.047514012,0.024892291,0.0125537,0.038092039,0.021278078,0.000120972,0.012421632,0.044064164,0.058574068,-0.006598124,0.002023284,0.016824704,0.030542048
cheese,0.044156009,0.046112055,0.064104539,0.034640485,0.06444477,0.019632706,0.033376643,-0.007094021,-0.002414627,0.028299358,0.003837315,-0.010013107,0.010631467,0.032187456,0.053070126,-0.007463994,-0.000823374,0.004850058,0.029327394
politics,0.042779132,0.043729117,0.044218675,0.017842607,0.052035279,0.048386988,0.040013637,0.023417133,0.015569323,0.028674968,0.024588605,0.006913875,0.013192768,0.039991135,0.044466675,-0.005529702,-0.000299565,0.01682275,0.020924633
boys,0.035804293,0.043995398,0.062122422,0.04333691,0.068006984,-0.008597677,0.026508912,-0.020437928,-0.012286536,0.015935927,-0.010788154,-0.019326516,-0.000147752,0.020747505,0.04394524,-0.007830853,0.000408709,-0.004030461,0.027409784
fashion,0.05127073,0.046507462,0.038463854,0.019924297,0.065315472,0.074737671,0.054335179,0.056392304,0.035195444,0.030208367,0.045737951,0.020464647,0.010727672,0.05200408,0.04189233,-0.004036474,0.003372773,0.029395183,0.017745506
video games,0.049651515,0.048824256,0.066284256,0.047694563,0.080103126,0.038420573,0.039474025,0.00498838,5.14E-05,0.027081043,0.014067089,-0.007095115,0.007907683,0.039795834,0.056427552,-0.00851387,-0.004323389,0.007935881,0.022171675
running,0.022707957,0.02398594,0.043483209,0.028946623,0.042770027,-0.004973052,0.012982002,-0.019546774,-0.020931897,0.007354531,-0.016393142,-0.018915819,-0.002813713,0.00794129,0.031295441,-0.005956693,-0.004573147,-0.008959961,0.011622915
nirvana,0.044053096,0.041652552,0.0558082,0.029545378,0.058843165,0.021639852,0.033369888,0.005094735,0.004540674,0.028016789,0.008486283,-0.011498669,0.001800718,0.032492281,0.046901555,-0.005569971,-0.000308987,0.003458605,0.021342033
music,0.08335707,0.093088186,0.137093713,0.102955581,0.165838819,0.035659657,0.061777661,-0.026801095,-0.028199335,0.031625921,-0.006087568,-0.038479199,-0.007070284,0.060466573,0.10548431,-0.020726181,-0.014560272,-0.004065998,0.038857211
clothes,0.037303798,0.03763853,0.047636517,0.030486385,0.055855448,0.017357145,0.031168922,0.005007242,0.002578813,0.019723388,0.006054893,-0.00579429,0.003373447,0.025353677,0.037659556,-0.005101827,5.61E-05,0.004591239,0.019919029
eating,0.02633442,0.030533353,0.045676669,0.034331982,0.0493203,-0.002235323,0.019744396,-0.017296228,-0.012489329,0.012580386,-0.009598847,-0.013293453,0.001398457,0.015104968,0.034351518,-0.004612584,-0.000306639,-0.001979683,0.020360639
