DOI,color,order,group
love,Blue,I,Plasticity
poetry,Blue,I,Plasticity
literature,Blue,I,Plasticity
sleep,Red,II,Stability
life,Red,II,Stability
sleeping,Red,II,Stability
internet,Red,II,Plasticity
drawing,Blue,I,Plasticity
fantasy,Blue,I,Plasticity
books,Red,I,Plasticity
video games,Blue,II,Plasticity
anime,Blue,I,Plasticity
manga,Blue,I,Plasticity
reading,Red,I,Plasticity
computers,Red,II,Plasticity
tv,Blue,II,Stability
cats,Red,I,Stability
movies,Blue,II,Stability
sex,Red,I,Stability
drinking,Red,II,Stability
laughing,Red,II,Stability
