DOIs,degrees_1,degrees_2,page_rank_1,bfs_moments_1,bfs_moments_2,closeness_1,kcore_1,motifs_3_2,motifs_3_3,motifs_3_4,motifs_3_5,motifs_3_6,motifs_3_7,motifs_3_8,motifs_3_9,motifs_3_10,motifs_3_11,motifs_3_12,motifs_3_13,Gender,Personality,Meta
shoes,0.049467492,0.043327453,0.056054483,0.034698965,0.070334482,0.032102678,0.041084029,0.016045466,0.007310066,0.029179929,0.016288825,-0.001987686,0.0083875,0.027529094,0.044791992,-0.00717726,-0.002037136,0.006104549,0.022933726,None,None,None
acting,0.045469911,0.043122793,0.057623902,0.039199346,0.061105453,0.019584329,0.035732961,0.00130462,0.003749635,0.025475383,0.009545793,-0.000714992,0.013547608,0.024623893,0.041143037,-0.003186197,0.003559058,0.007282245,0.029212275,None,None,None
philosophy,0.062827501,0.052417749,0.067659432,0.017660484,0.057899032,0.064149302,0.054054068,0.031194436,0.021746546,0.04395473,0.030303551,0.004158699,0.00908158,0.049749189,0.060622782,-0.006435658,0.004368483,0.021072701,0.030483961,None,None,None
swimming,0.03831653,0.035522142,0.065562079,0.050130351,0.069535448,-0.00442062,0.022782913,-0.024252532,-0.023227113,0.014975397,-0.015569512,-0.022288062,-0.001973451,0.006317403,0.041594264,-0.010227332,-0.00885668,-0.0137239,0.018329494,None,None,None
hugs,0.064349379,0.057579636,0.075125113,0.038419858,0.080169075,0.036004956,0.050598971,0.016394414,0.012996497,0.044463566,0.020087966,-0.000561707,0.01630318,0.037349499,0.059361311,-0.007331111,0.001308936,0.009327067,0.035540631,None,None,None
sex,0.064838572,0.064262598,0.064877003,0.015567881,0.08100075,0.069815339,0.063865767,0.042015562,0.038795823,0.049314562,0.046989195,0.017782893,0.017754233,0.058237214,0.060114548,-0.004499681,0.009426407,0.031249194,0.036091007,None,Agreeableness,Stability
guys,0.015555355,0.021227748,0.035744055,0.038138198,0.051456411,-0.022337954,0.006719636,-0.026925433,-0.019508859,0.002187624,-0.015885005,-0.018471612,-0.004261335,-0.006481381,0.017121702,-0.007370619,-0.007814631,-0.017835108,0.006490248,None,None,None
love,0.083815335,0.082400342,0.093358762,0.048399355,0.119372364,0.071814357,0.074879036,0.036713386,0.030116809,0.056003601,0.044420621,0.002402306,0.017122129,0.06246793,0.076886035,-0.010881346,0.000307254,0.018233729,0.040713277,Female,Openness to Exp.,Plasticity
internet,0.047131163,0.035743901,0.049518638,0.029478195,0.050583967,0.048335308,0.03679777,0.028839807,0.014842147,0.026119606,0.026950872,0.005836,0.006350569,0.032995971,0.039497784,-0.006310448,-0.000721629,0.014983778,0.017899004,None,Extraversion,Plasticity
travel,0.059269206,0.045877084,0.06055785,0.0069461,0.039575572,0.066241243,0.051862321,0.037579839,0.023474862,0.041798827,0.03142089,0.0115638,0.013414424,0.049440471,0.058377839,-0.003503771,0.008617835,0.028780054,0.03328865,None,None,None
drawing,0.062782619,0.044351432,0.075096909,0.050560752,0.082208632,0.06205672,0.045889579,0.024808348,0.002457356,0.028814903,0.021286142,-0.007624863,-0.002276156,0.040648086,0.058077903,-0.011495483,-0.007830897,0.008112059,0.018160965,None,Extraversion,Plasticity
radiohead,0.062314183,0.054087863,0.066785012,0.018723679,0.066482745,0.050921759,0.053228241,0.024802787,0.021306335,0.047902001,0.028032826,0.002570126,0.013639529,0.046036799,0.062586991,-0.003903278,0.003104212,0.01491424,0.032613937,None,None,None
fantasy,0.072236083,0.065608519,0.07035384,0.019503376,0.052921331,0.091178141,0.070217269,0.051595601,0.040235699,0.053541764,0.054705976,0.021252062,0.021959585,0.071652479,0.07261646,-0.006929173,0.011578413,0.044934506,0.04519565,Male,Extraversion,Plasticity
books,0.109760252,0.087512038,0.112632165,0.042644591,0.099157684,0.114933856,0.095789788,0.066402504,0.037390999,0.06791791,0.061310628,0.018431081,0.021313289,0.085289312,0.099898018,-0.010301977,0.006198145,0.049050949,0.054231905,None,Extraversion,Plasticity
snowboarding,0.0136057,0.013989894,0.033540199,0.026531197,0.038310315,-0.018365753,0.004234904,-0.027112259,-0.02074803,0.004262935,-0.018670048,-0.018654492,-0.005195087,-0.00506123,0.020335306,-0.006937719,-0.006972824,-0.01547923,0.006599233,None,None,None
literature,0.06200179,0.05131129,0.059640636,0.015441711,0.050491898,0.073941663,0.057294653,0.047269564,0.029817997,0.042360491,0.041504985,0.014586545,0.011998436,0.054365483,0.056724214,-0.004083985,0.004645204,0.03243834,0.029793705,None,Openness to Exp.,Plasticity
animals,0.048325026,0.037031001,0.056548548,0.02673146,0.057342496,0.046113165,0.03814678,0.022035007,0.006594246,0.024119257,0.019028595,-0.002108957,0.00052642,0.031722184,0.042367645,-0.00844261,-0.004317445,0.009779022,0.015989485,None,None,None
dancing,0.06425798,0.058312429,0.090178132,0.055230082,0.096774913,0.020953002,0.046995277,-0.007579529,-0.007844394,0.035402131,0.001767206,-0.01269962,0.010712388,0.027657237,0.063353994,-0.010854147,-0.003042168,-0.000990674,0.035134131,None,None,None
drinking,0.02462683,0.025944407,0.038632873,0.022949796,0.047605468,0.003944288,0.019175204,-0.010730233,-0.00657268,0.012581889,-0.002519084,-0.009173253,0.003340369,0.010192364,0.026076488,-0.003495918,-0.004171565,-0.00379856,0.011996169,None,Agreeableness,Stability
psychology,0.068169102,0.052495672,0.069664543,0.02083166,0.061863369,0.069176879,0.056711404,0.042618516,0.025121222,0.045239821,0.035611516,0.005966574,0.008963919,0.050806386,0.060592679,-0.006443981,0.000567963,0.021945424,0.029107511,None,None,None
sleep,0.055860423,0.047711376,0.067351448,0.032611814,0.068010862,0.035908265,0.044262078,0.012001314,0.008043769,0.037078667,0.016390553,-0.003535273,0.010029892,0.033939071,0.054319212,-0.006847287,0.000195467,0.009474827,0.027973612,Female,Neuroticism,Stability
tv,0.022124275,0.025127596,0.03252226,0.032083094,0.046787,0.012683571,0.020353484,-0.000167753,-0.004261346,0.005941981,0.005159943,-0.00531263,-0.001449772,0.011920519,0.021738296,-0.006690876,-0.004822273,0.001626221,0.008301553,None,Conscientiousness,Stability
talking,0.028824656,0.029756808,0.048603302,0.040414527,0.056213502,-0.007565619,0.017663079,-0.018409328,-0.014453771,0.011889989,-0.009341825,-0.016539525,3.06E-05,0.004392407,0.029046892,-0.007234114,-0.006312844,-0.010897356,0.01432618,None,None,None
cars,0.020120734,0.0212277,0.036580158,0.02909068,0.043123275,-0.006726332,0.013475325,-0.019688516,-0.013146662,0.009868189,-0.009523475,-0.013503282,-0.001484937,0.004281715,0.024788014,-0.005581051,-0.003427002,-0.009478849,0.009759357,None,None,None
harry potter,0.095170734,0.072703978,0.085236161,0.046810127,0.08621989,0.120367059,0.086188123,0.084461896,0.042317638,0.051446452,0.070562256,0.027715513,0.017485504,0.079783522,0.078341199,-0.011443602,0.00067513,0.056887632,0.041943148,None,None,None
history,0.074072619,0.058952126,0.074025967,0.019730402,0.054434798,0.077379688,0.065711164,0.045833964,0.027555809,0.049713441,0.040354481,0.013876212,0.01619155,0.059799004,0.069039225,-0.004905788,0.008881327,0.037287504,0.040151341,None,None,None
guitar,0.038730034,0.036204034,0.056906145,0.03870798,0.066518308,0.005301248,0.027843362,-0.012537907,-0.008733321,0.020063583,-0.002298913,-0.013660937,0.003075608,0.015208459,0.039086685,-0.007779113,-0.004242964,-0.005090717,0.019645484,None,None,None
johnny depp,0.06357822,0.051010547,0.064413501,0.036884153,0.071424256,0.057623377,0.053411733,0.037033657,0.020110002,0.037355324,0.033230931,0.005337529,0.010831822,0.043348378,0.053201519,-0.007361638,-0.002868445,0.019814326,0.02541438,None,None,None
driving,0.040910662,0.03697367,0.058518462,0.035448847,0.062070463,0.009583918,0.029260687,-0.010108754,-0.008400587,0.023336531,-0.002424144,-0.015123524,0.001131193,0.016838416,0.042456282,-0.006700002,-0.003668588,-0.006326749,0.019725494,None,None,None
linkin park,0.032235532,0.02525813,0.039823419,0.03481037,0.048735081,0.016077874,0.020919331,0.005139773,-0.002521934,0.015054813,0.006374908,-0.008381192,-0.001419796,0.013932341,0.026535014,-0.006476365,-0.007235193,-0.004045781,0.006789978,None,None,None
the beatles,0.063359629,0.049212296,0.065838267,0.026404987,0.06351234,0.049918662,0.05039231,0.029500235,0.014238605,0.040387558,0.025471737,0.00286753,0.012943723,0.039806463,0.056380223,-0.006848854,0.00132766,0.016919366,0.029553858,None,None,None
cheese,0.049142562,0.045461037,0.067354418,0.034266783,0.064602091,0.024211572,0.037576734,-0.00289257,-0.001249689,0.031092627,0.005373801,-0.010200971,0.007290843,0.028202558,0.051990253,-0.007879419,-0.001218926,0.005051997,0.029297799,None,None,None
politics,0.051367114,0.045761998,0.054908274,0.014011829,0.049245705,0.05546778,0.047211412,0.029046444,0.017754988,0.034049592,0.025418339,0.004839599,0.008393913,0.04344091,0.050322427,-0.005389325,0.003984865,0.023054764,0.028218506,Male,None,None
boys,0.034829485,0.039388089,0.054214228,0.048774655,0.077114052,-0.009524014,0.025488019,-0.018623881,-0.011758898,0.016196603,-0.005666523,-0.014615123,0.005295755,0.007162071,0.033635311,-0.00922114,-0.004377455,-0.011142448,0.018807672,None,None,None
fashion,0.053561961,0.044194221,0.040502917,0.019964724,0.066436663,0.07614384,0.055739375,0.059338073,0.035534105,0.031814116,0.049955834,0.022930664,0.012182577,0.046416842,0.038666382,-0.004548636,0.003050581,0.027513388,0.01619093,None,None,None
video games,0.057239802,0.047842,0.074084638,0.046612055,0.074769227,0.045108031,0.045743234,0.010883262,-0.000618541,0.029450681,0.01379097,-0.009112543,0.000929862,0.038121961,0.058536931,-0.009538458,-0.003794113,0.00961459,0.024033143,None,Extraversion,Plasticity
running,0.025087597,0.021619273,0.043212364,0.031669927,0.044946352,-0.002675195,0.014977247,-0.01669929,-0.020025396,0.008493456,-0.014856716,-0.016854574,-0.002806681,0.002489963,0.027961037,-0.00697558,-0.006699723,-0.011083595,0.009818549,None,None,None
nirvana,0.04337748,0.038110199,0.051054595,0.031927112,0.06394716,0.020830582,0.032546286,0.006549128,0.004601123,0.027782599,0.012715123,-0.008893485,0.00527163,0.02234832,0.039171973,-0.006386631,-0.003709916,-0.001736215,0.015882722,None,None,None
music,0.093892703,0.086612765,0.140735202,0.106152705,0.170093179,0.045408277,0.070448584,-0.015397759,-0.024223742,0.037672969,0.002699782,-0.032148606,-0.005681993,0.045224953,0.097782822,-0.023662927,-0.01863856,-0.007531109,0.03605845,None,None,None
clothes,0.036794752,0.034164005,0.043048185,0.034031042,0.06167152,0.016731267,0.030617446,0.006446511,0.002625272,0.019426695,0.009939346,-0.003128104,0.005826166,0.015655164,0.030529815,-0.006236346,-0.002960598,-0.000408439,0.014531785,None,None,None
eating,0.027778247,0.028140159,0.044219739,0.036740261,0.051884714,-0.000936867,0.020733724,-0.015491063,-0.011803111,0.013117574,-0.007171267,-0.01154286,0.003001277,0.008465873,0.029900893,-0.005751264,-0.003277396,-0.004934467,0.017235938,None,None,None
anime,0.073390516,0.060080919,0.073796275,0.060096423,0.079800747,0.096723121,0.066917036,0.053383559,0.025271686,0.038906255,0.049346389,0.007246804,-0.000553284,0.067030099,0.069351039,-0.012396967,-0.005009353,0.029910968,0.025439684,None,Extraversion,Plasticity
hiking,0.037042328,0.02998693,0.049729127,0.01382154,0.032969468,0.029956125,0.028387627,0.002665831,-0.002641642,0.02132002,0.00206239,-0.008631339,0.000610375,0.025051713,0.042509309,-0.005873659,-0.000811079,0.00494892,0.019929266,None,None,None
piercings,0.061003385,0.051234805,0.066577297,0.029923593,0.088208924,0.051839403,0.049772137,0.029081209,0.021676263,0.042728671,0.030774298,0.000866754,0.006336742,0.041235806,0.054451591,-0.008106373,-0.002439789,0.008494914,0.022535275,None,None,None
fanfiction,0.048351336,0.054715268,0.029357805,0.031450409,0.050056174,0.104118284,0.068506306,0.0826623,0.05428323,0.026358137,0.077312695,0.040556394,0.00778181,0.073817595,0.041189128,-0.006407729,0.000222433,0.065860674,0.019860989,None,None,None
art,0.090218267,0.081250223,0.098131056,0.045076564,0.116099257,0.104164281,0.082095301,0.050232111,0.034326329,0.057743039,0.053592341,0.008511245,0.011211076,0.076414034,0.086805685,-0.011177539,0.001844127,0.028451314,0.038119595,None,None,None
rock,0.026148661,0.027539001,0.029530167,0.029218129,0.044024618,0.02726907,0.023689063,0.011854261,0.00377901,0.010460947,0.014552978,-0.004607812,-0.002982602,0.020677553,0.024976801,-0.006670195,-0.005284247,0.002317146,0.006254135,None,None,None
women,0.022471928,0.028357745,0.033312456,0.01448742,0.040318644,0.014622212,0.022991681,-0.003827167,0.004105148,0.013943398,0.006776454,-0.000409667,0.00348719,0.018719057,0.026017874,-0.003541459,0.002007652,0.007438417,0.016229546,None,None,None
soccer,0.01832736,0.019041831,0.03951271,0.037700839,0.043469074,-0.02071348,0.008983719,-0.028329049,-0.024628462,0.001794558,-0.02007507,-0.017585146,-0.00242775,-0.00637314,0.020528017,-0.007115802,-0.007508531,-0.013362906,0.010559869,Male,None,None
snow,0.052837213,0.043764142,0.062863676,0.034719071,0.063163442,0.030471773,0.040671022,0.010947339,0.004678484,0.031879507,0.012305184,-0.005117452,0.008294356,0.028314586,0.047712539,-0.006962333,-0.002358863,0.005215625,0.025394746,None,None,None
coffee,0.082152384,0.068070022,0.089182404,0.029972775,0.083519071,0.073139071,0.069616943,0.039338631,0.024332759,0.055215859,0.036567415,0.0080918,0.01641011,0.05971597,0.078058884,-0.006430788,0.004751933,0.028451777,0.0424775,None,None,None
dogs,0.052122812,0.040530241,0.059159065,0.027282345,0.054722389,0.044628245,0.041817439,0.021649748,0.007468849,0.028621139,0.019021654,0.001095899,0.007026354,0.033347438,0.047261677,-0.005417538,0.000505117,0.013604809,0.023210636,None,None,None
dreams,0.060866098,0.051626438,0.063897364,0.023938583,0.063413605,0.058687592,0.051722678,0.033414203,0.022656397,0.040927802,0.032960309,0.003938982,0.010725501,0.045774855,0.053883642,-0.006215426,0.001202046,0.018019219,0.026498151,None,None,None
candles,0.054739943,0.044989568,0.060111645,0.025858891,0.065635353,0.044935156,0.043704674,0.023568568,0.015782776,0.036549481,0.023978408,-3.77E-05,0.00726118,0.035377356,0.048038713,-0.007422039,-0.000957242,0.008023149,0.023524362,None,None,None
biking,0.0142248,0.015056649,0.033691168,0.024617289,0.032353567,-0.004779361,0.006212803,-0.021865423,-0.016343449,0.002839496,-0.013661957,-0.016032075,-0.005312961,0.001822458,0.020292418,-0.0070358,-0.005687779,-0.01030486,0.00804439,None,None,None
pictures,0.042161904,0.052808757,0.052918771,0.043801625,0.083922521,0.023234039,0.041851864,0.005192382,0.009008125,0.025906106,0.016448117,-0.005535664,0.006898656,0.02901705,0.04097833,-0.008360605,-0.003988486,-0.000149732,0.021260271,None,None,None
chocolate,0.081752692,0.066809462,0.090234579,0.041120372,0.07643663,0.062254141,0.066993381,0.033458108,0.017494983,0.050566449,0.031102713,0.007959018,0.020469208,0.052876146,0.074261152,-0.007617507,0.004887723,0.029827007,0.045437488,Female,None,None
traveling,0.053546094,0.039616514,0.062400445,0.027590386,0.057858528,0.041697619,0.0408927,0.018238127,0.004551519,0.03088496,0.014559571,-0.002016474,0.004632722,0.031564107,0.050014242,-0.006787378,-0.001319587,0.010165059,0.021893009,None,None,None
green day,0.038528037,0.034737129,0.048632351,0.03905739,0.062441684,0.010943582,0.027310418,0.000592905,-0.003479837,0.019898087,0.004532226,-0.010613643,0.00306241,0.014936731,0.033921803,-0.006696386,-0.005914257,-0.004908644,0.014828224,None,None,None
punk,0.033701525,0.040115306,0.038091769,0.020758963,0.062572289,0.03589081,0.034198574,0.016460291,0.016220124,0.022532844,0.022983645,-0.001992596,0.000187732,0.031365807,0.033878212,-0.006398696,-0.003332956,0.006388274,0.013593182,None,None,None
life,0.04210638,0.040706669,0.04934346,0.0246375,0.054928742,0.034027649,0.036840476,0.014166508,0.011846752,0.027326909,0.018284757,0.000206335,0.008247509,0.030483154,0.039487221,-0.004605734,0.002164799,0.008835516,0.022357348,Male,Neuroticism,Stability
shopping,0.04812065,0.039114356,0.067312956,0.057741139,0.083953892,0.007050588,0.032463079,-0.004525413,-0.014375513,0.01835932,-0.002915902,-0.013339947,0.002016365,0.009247348,0.041098457,-0.010669767,-0.009356351,-0.009246199,0.016733848,Female,None,None
kissing,0.06512624,0.058421985,0.072650431,0.028560966,0.082746117,0.04437676,0.053293677,0.023137763,0.021425444,0.048732044,0.027848179,0.002742318,0.016662228,0.042642655,0.060870556,-0.00662505,0.003150001,0.012540397,0.034538087,None,None,None
writing,0.099068287,0.080279491,0.114668762,0.058911492,0.118957365,0.109606121,0.081205348,0.048412036,0.021025653,0.05307487,0.04731479,-7.61E-05,0.004019511,0.076363775,0.093829606,-0.017590956,-0.006928998,0.030846901,0.038020546,None,None,None
manga,0.059055775,0.043112012,0.048816531,0.052111526,0.059171598,0.08861282,0.056938323,0.064650505,0.026513942,0.026255933,0.051340013,0.015771631,-0.001241198,0.056257966,0.047910993,-0.008322232,-0.006079543,0.035844437,0.013954143,None,Extraversion,Plasticity
singing,0.061455015,0.054092865,0.085223838,0.057553144,0.087594416,0.021130645,0.043207614,-0.005410203,-0.005621273,0.032005943,0.004195963,-0.010300908,0.010280623,0.0275485,0.057671424,-0.0102889,-0.003230731,0.002253673,0.032491425,None,None,None
lord of the rings,0.074460033,0.061109294,0.075066969,0.035177591,0.066718259,0.077936831,0.065901091,0.048244373,0.028572129,0.045582198,0.04504487,0.015327437,0.01806409,0.05917956,0.066281873,-0.007972749,0.00326388,0.036553317,0.039536822,None,None,None
football,0.022777334,0.024128722,0.038226339,0.031209389,0.040677633,-0.006093497,0.017184166,-0.014987477,-0.013194776,0.008106264,-0.007467227,-0.009418681,0.001195461,0.005266184,0.025453043,-0.005376284,-0.003633642,-0.001598425,0.013562528,None,None,None
dvds,0.030507955,0.027554495,0.045921259,0.031067436,0.050307078,0.016330868,0.02109333,-0.00557594,-0.007313739,0.013715696,0.002253308,-0.011121354,-0.001619879,0.014880911,0.031947307,-0.008520304,-0.007016518,-0.001244478,0.01282122,None,None,None
friends,0.068922861,0.068973388,0.105939344,0.083233167,0.122811733,0.00486383,0.049918722,-0.025775301,-0.020792843,0.030780703,-0.007443664,-0.023000345,0.006834085,0.022806881,0.068729877,-0.014601426,-0.009725784,-0.010869322,0.036886096,Female,None,None
painting,0.047414555,0.038013136,0.054478269,0.024025772,0.062501553,0.047914964,0.037621782,0.019189895,0.007170239,0.027986206,0.01751166,-0.005900238,0.001675147,0.033383252,0.046428939,-0.008440148,-0.003350432,0.006017309,0.016727545,None,None,None
