DOIs,degrees_1,degrees_2,closeness_1,kcore_1,motifs_3_2,motif3_3,motifs_3_4,motifs_3_5,motifs_3_8,motifs_3_9,motifs_3_11,motifs_3_13,Personality,Meta
sex,0.064838572,0.064262598,0.069815339,0.063865767,0.042015562,0.038795823,0.049314562,0.046989195,0.058237214,0.060114548,0.009426407,0.036091007,Agreeableness,Stability
love,0.083815335,0.082400342,0.071814357,0.074879036,0.036713386,0.030116809,0.056003601,0.044420621,0.06246793,0.076886035,0.000307254,0.040713277,Openness to Exp.,Plasticity
internet,0.047131163,0.035743901,0.048335308,0.03679777,0.028839807,0.014842147,0.026119606,0.026950872,0.032995971,0.039497784,-0.000721629,0.017899004,Extraversion,Plasticity
drawing,0.062782619,0.044351432,0.06205672,0.045889579,0.024808348,0.002457356,0.028814903,0.021286142,0.040648086,0.058077903,-0.007830897,0.018160965,Extraversion,Plasticity
fantasy,0.072236083,0.065608519,0.091178141,0.070217269,0.051595601,0.040235699,0.053541764,0.054705976,0.071652479,0.07261646,0.011578413,0.04519565,Extraversion,Plasticity
books,0.109760252,0.087512038,0.114933856,0.095789788,0.066402504,0.037390999,0.06791791,0.061310628,0.085289312,0.099898018,0.006198145,0.054231905,Extraversion,Plasticity
literature,0.06200179,0.05131129,0.073941663,0.057294653,0.047269564,0.029817997,0.042360491,0.041504985,0.054365483,0.056724214,0.004645204,0.029793705,Openness to Exp.,Plasticity
drinking,0.02462683,0.025944407,0.003944288,0.019175204,-0.010730233,-0.00657268,0.012581889,-0.002519084,0.010192364,0.026076488,-0.004171565,0.011996169,Agreeableness,Stability
sleep,0.055860423,0.047711376,0.035908265,0.044262078,0.012001314,0.008043769,0.037078667,0.016390553,0.033939071,0.054319212,0.000195467,0.027973612,Neuroticism,Stability
tv,0.022124275,0.025127596,0.012683571,0.020353484,-0.000167753,-0.004261346,0.005941981,0.005159943,0.011920519,0.021738296,-0.004822273,0.008301553,Conscientiousness,Stability
video games,0.057239802,0.047842,0.045108031,0.045743234,0.010883262,-0.000618541,0.029450681,0.01379097,0.038121961,0.058536931,-0.003794113,0.024033143,Extraversion,Plasticity
anime,0.073390516,0.060080919,0.096723121,0.066917036,0.053383559,0.025271686,0.038906255,0.049346389,0.067030099,0.069351039,-0.005009353,0.025439684,Extraversion,Plasticity
life,0.04210638,0.040706669,0.034027649,0.036840476,0.014166508,0.011846752,0.027326909,0.018284757,0.030483154,0.039487221,0.002164799,0.022357348,Neuroticism,Stability
manga,0.059055775,0.043112012,0.08861282,0.056938323,0.064650505,0.026513942,0.026255933,0.051340013,0.056257966,0.047910993,-0.006079543,0.013954143,Extraversion,Plasticity
cats,0.093334977,0.073370615,0.09389874,0.079131754,0.055844398,0.034356075,0.063022065,0.049219353,0.072875648,0.086687147,0.010280365,0.049047638,Conscientiousness,Stability
reading,0.106080179,0.074553075,0.100434752,0.079381211,0.042929429,0.003584109,0.051528757,0.032507167,0.067174086,0.099197402,-0.006925536,0.042527219,Extraversion,Plasticity
movies,0.080321466,0.072074679,0.032764536,0.057895714,-0.018864524,-0.024675358,0.033987909,-0.003978588,0.034883067,0.086061048,-0.016438899,0.034022464,Conscientiousness,Stability
poetry,0.072012843,0.064906759,0.066094452,0.058596931,0.026490455,0.018245967,0.044484541,0.031665118,0.051798985,0.067750513,-0.004176319,0.029274983,Openness to Exp.,Plasticity
computers,0.051401389,0.045610613,0.028990962,0.035409361,-0.010095105,-0.008718692,0.02727484,0.002774777,0.028619569,0.057752186,-0.002301801,0.028058231,Extraversion,Plasticity
laughing,0.059996191,0.052724372,0.022006206,0.043718565,-0.000564468,-0.003248401,0.035372017,0.005499245,0.026294733,0.056615047,-0.004919283,0.029135307,Agreeableness,Stability
sleeping,0.071870739,0.058187868,0.031124864,0.051227345,0.003109258,-0.007201262,0.039179744,0.005752616,0.032068799,0.0680363,-0.007182818,0.031385937,Neuroticism,Stability
