DOIs,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,Gender,Personality,Meta
shoes,-0.593464407,-0.393731972,-0.099675874,-0.430162479,-0.093402374,-0.105317221,-0.148149403,0.10088941,-0.021221267,-0.035263983,-0.074773465,0.091215218,0.081973248,-0.024618252,-0.005327738,0.000560445,0.001855326,0.023164536,0.004829644,None,None,None
acting,-0.840848476,-1.186130677,-1.61548013,-0.782643095,0.746329041,-0.055437956,0.563778051,0.09423098,0.10803933,-0.138437185,0.143782343,-0.112345333,0.126783496,0.010144636,0.005607869,0.000284489,-0.010630314,-0.005240457,0.023092042,None,None,None
philosophy,2.027625947,-1.648679811,-0.370841167,0.811976333,-0.346846892,0.165480068,0.030992404,-0.043230534,0.11984645,0.038161226,-0.084963145,-0.041316132,-0.095887797,-9.09E-05,-0.043017396,0.020439348,-0.022939874,-0.003778756,0.016733339,None,None,None
swimming,-4.153414873,2.40420597,-0.196502083,0.318644185,0.232216483,-0.044920085,-0.039831721,-0.034963064,-0.010017331,0.051022166,-0.042444599,-0.026323324,-0.006876886,-0.019329474,0.010051708,-0.040356641,-0.01054526,0.02164668,0.000792119,None,None,None
hugs,1.583312389,0.125905411,-1.462923034,-0.575362682,0.038832177,-0.150696412,-0.220001452,-0.081489079,0.117577452,0.0479912,0.003853569,-0.023121633,0.032615685,-0.054922758,-0.017199881,-0.056099651,0.001307234,-0.019002215,-0.018627818,None,None,None
sex,4.114505347,-2.724368043,-0.923764712,-0.533694462,-0.392406972,0.724794971,0.165000421,0.177156034,-0.19672655,0.113138323,0.008843772,-0.010321322,0.028074777,0.036248607,0.001100318,-0.0095201,-0.033690307,-0.017242869,0.010478787,None,Agreeableness,Stability
guys,-6.413272471,0.339609486,0.281266428,-0.184176338,0.025448379,0.208806433,-0.078175635,0.066179421,0.040380794,0.090228071,-0.080926289,-0.097772017,-0.00082854,0.049382113,0.051505245,-0.045147188,-0.010918813,0.008975598,0.01135294,None,None,None
love,5.008778179,1.617220155,-0.514066069,-1.012461173,-0.573260542,0.396993794,-0.122030295,-0.126210331,0.048818528,-0.188236277,-0.049608263,-0.055474264,0.027537943,0.058299092,0.001772317,-0.019457472,0.013543201,0.009690198,-0.01982083,Female,Openness to Exp.,Plasticity
internet,-0.466305866,-1.803590249,0.830639156,-0.127477067,0.134304376,-0.22756272,-0.126138836,0.224057901,0.193319688,0.024273021,0.127162742,-0.11277911,0.0044153,-0.018370714,0.043494424,-0.020961722,-0.002074884,0.006843363,0.008729187,None,Extraversion,Plasticity
travel,2.201339733,-3.414915972,-0.959168183,0.937895087,0.133869263,-0.010486224,0.058016215,0.066915354,-0.007724067,-0.001404444,-0.015446276,0.027341973,-0.016980778,-0.056318273,0.020602745,-0.019765973,0.026760817,0.017842569,0.00810802,None,None,None
